date,cases_cumul,cases_hosp,cases_icu,deaths_cumul,cases_hcp,clusters_cumul,cases_female,cases_male,cases_gender_unknown,cases_below_1,cases_1_4,cases_under_5,cases_5_14,cases_15_24,cases_25_34,cases_35_44,cases_45_54,cases_55_64,cases_65_plus,cases_65_74,cases_75_84,cases_85_plus,cases_age_unknown,percent_comm_trns,percent_contact,percent_travel,cases_hcp_travel,cases_hcp_no_travel,cases_hcp_tbc,hosp_under_5,hosp_5_14,hosp_15_24,hosp_25_34,hosp_35_44,hosp_45_54,hosp_55_64,hosp_65_plus,hosp_65_74,hosp_75_84,hosp_85_plus,hosp_age_unknown,cases_carlow,cases_cavan,cases_clare,cases_cork,cases_donegal,cases_dublin,cases_galway,cases_kerry,cases_kildare,cases_kilkenny,cases_laois,cases_leitrim,cases_limerick,cases_longford,cases_louth,cases_mayo,cases_meath,cases_monaghan,cases_offaly,cases_roscommon,cases_sligo,cases_tipperary,cases_waterford,cases_westmeath,cases_wexford,cases_wicklow
06-May,22301,2915,373,1177,6586,737,12765,9472,64,40,77,117,243,1545,3635,3851,4065,2913,5907,NA,NA,NA,25,0.61,0.36,0.03,NA,NA,NA,18,17,63,175,235,393,429,1583,NA,NA,NA,2,133,730,299,1199,469,10885,381,303,1312,265,242,66,566,260,703,518,727,443,345,228,116,512,140,633,190,636
07-May,22495,2954,381,1195,6669,746,12879,9552,64,40,77,117,245,1567,3673,3891,4087,2939,5950,1645,2116,2189,26,0.61,0.36,0.03,NA,NA,NA,18,17,63,177,236,399,437,1605,517,670,418,2,136,748,303,1205,469,10948,382,303,1317,271,247,66,570,264,715,522,754,447,349,234,116,515,143,640,194,637
08-May,22671,2986,383,1203,6771,750,12980,9627,64,40,79,119,252,1582,3707,3919,4111,2958,5997,1661,2136,2200,26,0.61,0.36,0.03,NA,NA,NA,18,17,65,179,240,404,436,1625,524,676,425,2,139,752,303,1207,469,11068,388,303,1324,277,247,66,572,264,721,522,758,447,350,235,116,517,143,641,199,643
09-May,22894,2998,383,1217,6834,755,13129,9698,67,42,79,121,258,1604,3745,3964,4148,2987,6041,1671,2147,2223,26,0.61,0.36,0.03,NA,NA,NA,18,17,65,178,239,405,436,1638,525,683,430,2,141,753,305,1232,472,11175,392,303,1331,280,248,74,582,267,730,522,760,449,351,247,123,523,143,643,202,646
10-May,23089,3031,386,1237,6906,759,13249,9776,64,42,79,121,260,1624,3777,3994,4172,3014,6101,1685,2164,2252,26,0.61,0.36,0.03,NA,NA,NA,18,17,66,179,238,408,439,1664,535,691,438,2,141,757,306,1234,474,11235,400,305,1337,284,249,74,588,269,733,537,769,454,358,297,127,524,143,643,202,649
11-May,23144,3050,389,1246,6997,766,13282,9802,60,NA,NA,122,263,1631,3792,4004,4186,3014,6107,1691,2165,2251,25,0.6,0.37,0.03,NA,NA,NA,18,17,68,181,239,407,439,1679,539,696,444,2,143,765,308,1238,472,11242,402,305,1344,291,249,75,588,270,735,538,769,458,360,298,128,524,144,645,206,647
12-May,23259,3053,387,1255,7123,766,13338,9853,68,43,82,125,266,1641,3822,4024,4203,3029,6124,1696,2175,2253,25,0.6,0.37,0.03,NA,NA,NA,18,17,68,182,240,409,442,1675,539,696,440,2,143,767,308,1249,473,11308,405,305,1348,292,249,77,591,272,734,541,770,464,362,298,128,524,144,648,208,651
13-May,23627,3062,387,1264,7427,781,13559,10019,49,43,85,128,266,1688,3936,4105,4276,3066,6138,1703,2181,2254,24,0.61,0.37,0.02,NA,NA,NA,18,17,68,184,242,409,442,1680,539,698,443,2,144,774,312,1256,473,11557,408,306,1352,293,251,77,595,273,740,542,773,467,435,299,128,516,144,652,208,652
14-May,23879,3094,389,1277,7530,784,13681,10049,49,43,85,128,267,1705,3995,4181,4316,3096,6167,1714,2188,2265,24,0.6,0.37,0.03,NA,NA,NA,18,17,68,186,247,415,449,1692,545,700,447,2,144,776,314,1346,474,11657,412,307,1357,295,251,79,596,273,741,542,776,468,455,300,129,521,144,654,211,657
15-May,23953,3117,389,1288,7566,800,13709,10195,49,43,87,130,270,1714,4105,4201,4329,3099,6171,1716,2193,2262,24,0.6,0.37,0.03,NA,NA,NA,19,17,70,187,247,420,453,1702,546,705,451,2,146,781,314,1352,475,11666,418,307,1361,298,253,79,601,277,739,547,778,480,459,301,129,523,146,655,212,656
