Value
0.000
1.000
1.000
1.000
2.000
2.618
3.618
4.000
5.048
6.600
7.713
8.222
8.464
9.930
10.994
12.083
12.890
14.090
14.725
14.928
16.734
17.775
19.054
20.039
20.928
22.121
22.810
23.083
24.981
25.928
26.879
27.000
28.000
29.000
30.000
31.000
32.000
33.000
34.000
35.000
36.000
37.000
38.000
39.000
40.000
41.000
42.000
43.000
44.000
45.000
46.000
47.000
48.000
49.000
50.000
51.000
52.000
53.000
54.000
55.000
56.000
57.000
58.000
59.000
60.000
61.000
62.000
63.000
64.000
65.000
67.000
68.000
69.000
70.000
71.000
72.000
73.000
74.000
75.000
76.000
77.000
78.000
79.000
80.000
81.000
82.000
83.000
84.000
85.000
86.000
87.000
88.000
89.000
90.000
91.000
92.000
93.000
94.000
95.000
96.000
97.000
98.000
99.000
100.000
